Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC,KNN
Cross Validation,0.74 (+/- 0.05),0.78 (+/- 0.04),0.80 (+/- 0.04),0.79 (+/- 0.03),0.78 (+/- 0.03),0.74 (+/- 0.06)
Accuracy,76.45,77.6,82.66,78.32,79.34,78.47
Precision,55.78,61.21,62.59,61.05,63.54,58.37
Recall,72.92,52.6,93.23,60.42,59.9,78.12
F1 Score,63.21,56.58,74.9,60.73,61.66,66.82
Time,0 days 00:00:00.168393,0 days 00:00:00.107037,0 days 00:00:00.104464,0 days 00:00:00.030917,0 days 00:00:00.066370,0 days 00:00:00.000993
