False positive rate,True positive rate,Area
0.0,0.0,87.28
0.0,0.005208333333333333,87.28
0.002,0.015625,87.28
0.002,0.026041666666666668,87.28
0.006,0.03125,87.28
0.008,0.03125,87.28
0.01,0.046875,87.28
0.014,0.057291666666666664,87.28
0.016,0.0625,87.28
0.018,0.07291666666666667,87.28
0.022,0.08333333333333333,87.28
0.026,0.08333333333333333,87.28
0.03,0.08333333333333333,87.28
0.032,0.09375,87.28
0.036,0.09375,87.28
0.036,0.09895833333333333,87.28
0.036,0.11458333333333333,87.28
0.038,0.13020833333333334,87.28
0.038,0.140625,87.28
0.04,0.140625,87.28
0.044,0.14583333333333334,87.28
0.048,0.15625,87.28
0.05,0.16666666666666666,87.28
0.052,0.171875,87.28
0.052,0.17708333333333334,87.28
0.054,0.18229166666666666,87.28
0.054,0.1875,87.28
0.056,0.1875,87.28
0.056,0.203125,87.28
0.058,0.20833333333333334,87.28
0.062,0.22916666666666666,87.28
0.064,0.25,87.28
0.066,0.25,87.28
0.07,0.265625,87.28
0.074,0.2760416666666667,87.28
0.074,0.28125,87.28
0.076,0.3020833333333333,87.28
0.078,0.3020833333333333,87.28
0.078,0.3072916666666667,87.28
0.08,0.328125,87.28
0.08,0.3333333333333333,87.28
0.082,0.3333333333333333,87.28
0.084,0.3489583333333333,87.28
0.09,0.3645833333333333,87.28
0.09,0.3697916666666667,87.28
0.09,0.3802083333333333,87.28
0.092,0.3958333333333333,87.28
0.098,0.4114583333333333,87.28
0.1,0.4322916666666667,87.28
0.102,0.4427083333333333,87.28
0.104,0.4479166666666667,87.28
0.106,0.4479166666666667,87.28
0.106,0.4583333333333333,87.28
0.108,0.4635416666666667,87.28
0.112,0.46875,87.28
0.112,0.4739583333333333,87.28
0.114,0.484375,87.28
0.114,0.4895833333333333,87.28
0.116,0.5,87.28
0.116,0.5104166666666666,87.28
0.118,0.515625,87.28
0.118,0.5208333333333334,87.28
0.118,0.5520833333333334,87.28
0.12,0.5625,87.28
0.122,0.5625,87.28
0.126,0.5677083333333334,87.28
0.128,0.5677083333333334,87.28
0.13,0.578125,87.28
0.132,0.5989583333333334,87.28
0.134,0.6041666666666666,87.28
0.134,0.609375,87.28
0.136,0.6145833333333334,87.28
0.14,0.6354166666666666,87.28
0.142,0.6458333333333334,87.28
0.148,0.6614583333333334,87.28
0.148,0.6666666666666666,87.28
0.152,0.671875,87.28
0.158,0.6822916666666666,87.28
0.16,0.6927083333333334,87.28
0.164,0.6979166666666666,87.28
0.166,0.703125,87.28
0.168,0.7135416666666666,87.28
0.17,0.71875,87.28
0.17,0.7395833333333334,87.28
0.172,0.7447916666666666,87.28
0.172,0.75,87.28
0.174,0.765625,87.28
0.174,0.7708333333333334,87.28
0.18,0.78125,87.28
0.182,0.7864583333333334,87.28
0.184,0.7864583333333334,87.28
0.188,0.796875,87.28
0.19,0.796875,87.28
0.196,0.8125,87.28
0.2,0.8125,87.28
0.2,0.8177083333333334,87.28
0.202,0.8177083333333334,87.28
0.206,0.8177083333333334,87.28
0.212,0.8333333333333334,87.28
0.212,0.8385416666666666,87.28
0.214,0.8385416666666666,87.28
0.214,0.859375,87.28
0.218,0.859375,87.28
0.22,0.859375,87.28
0.23,0.859375,87.28
0.234,0.859375,87.28
0.238,0.859375,87.28
0.242,0.859375,87.28
0.244,0.859375,87.28
0.248,0.8645833333333334,87.28
0.252,0.8645833333333334,87.28
0.252,0.875,87.28
0.256,0.8854166666666666,87.28
0.258,0.90625,87.28
0.258,0.9166666666666666,87.28
0.262,0.9166666666666666,87.28
0.262,0.9322916666666666,87.28
0.266,0.9322916666666666,87.28
0.268,0.9427083333333334,87.28
0.272,0.953125,87.28
0.274,0.9635416666666666,87.28
0.282,0.9635416666666666,87.28
0.29,0.9635416666666666,87.28
0.3,0.9635416666666666,87.28
0.304,0.9635416666666666,87.28
0.306,0.96875,87.28
0.308,0.96875,87.28
0.314,0.96875,87.28
0.318,0.984375,87.28
0.332,0.984375,87.28
0.336,0.984375,87.28
0.348,0.984375,87.28
0.352,0.984375,87.28
0.354,0.984375,87.28
0.354,0.9947916666666666,87.28
0.362,0.9947916666666666,87.28
0.366,0.9947916666666666,87.28
0.37,0.9947916666666666,87.28
0.372,1.0,87.28
0.38,1.0,87.28
0.388,1.0,87.28
0.392,1.0,87.28
0.408,1.0,87.28
0.414,1.0,87.28
0.418,1.0,87.28
0.424,1.0,87.28
0.426,1.0,87.28
0.43,1.0,87.28
0.446,1.0,87.28
0.458,1.0,87.28
0.46,1.0,87.28
0.47,1.0,87.28
0.472,1.0,87.28
0.476,1.0,87.28
0.478,1.0,87.28
0.486,1.0,87.28
0.488,1.0,87.28
0.492,1.0,87.28
0.504,1.0,87.28
0.508,1.0,87.28
0.512,1.0,87.28
0.528,1.0,87.28
0.532,1.0,87.28
0.534,1.0,87.28
0.538,1.0,87.28
0.546,1.0,87.28
0.552,1.0,87.28
0.56,1.0,87.28
0.572,1.0,87.28
0.574,1.0,87.28
0.616,1.0,87.28
0.622,1.0,87.28
0.626,1.0,87.28
0.634,1.0,87.28
0.638,1.0,87.28
0.64,1.0,87.28
0.65,1.0,87.28
0.656,1.0,87.28
0.664,1.0,87.28
0.676,1.0,87.28
0.682,1.0,87.28
0.686,1.0,87.28
0.69,1.0,87.28
0.696,1.0,87.28
