Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC,KNN
Cross Validation,0.83 (+/- 0.09),0.74 (+/- 0.09),0.80 (+/- 0.13),0.74 (+/- 0.12),0.84 (+/- 0.15),0.81 (+/- 0.14)
Accuracy,82.35,78.99,74.79,79.83,80.67,76.47
Precision,82.35,82.26,76.12,80.6,77.63,74.03
Recall,86.15,78.46,78.46,83.08,90.77,87.69
F1 Score,84.21,80.31,77.27,81.82,83.69,80.28
Time,0 days 00:00:00.131599,0 days 00:00:00.096778,0 days 00:00:00.035900,0 days 00:00:00.021979,0 days 00:00:00.003027,0 days 00:00:00.000997
