False positive rate,True positive rate,Area
0.0,0.0,99.1
0.0,0.09818426361802286,99.1
0.0,0.11499663752521856,99.1
0.0,0.12239408204438466,99.1
0.0,0.12710154673839946,99.1
0.0,0.12979152656355078,99.1
0.0,0.1378614660390047,99.1
0.0,0.13920645595158038,99.1
0.0,0.1425689307330195,99.1
0.0,0.14324142568930734,99.1
0.0,0.1452589105581708,99.1
0.0,0.14862138533960995,99.1
0.0,0.14996637525218562,99.1
0.0,0.15063887020847344,99.1
0.0,0.15198386012104909,99.1
0.0,0.1526563550773369,99.1
0.0,0.15400134498991258,99.1
0.0,0.1546738399462004,99.1
0.0,0.15736381977135172,99.1
0.0,0.15803631472763954,99.1
0.0,0.16005379959650304,99.1
0.0,0.16274377942165433,99.1
0.0,0.17014122394082046,99.1
0.0,0.1714862138533961,99.1
0.0,0.17552118359112306,99.1
0.0,0.17821116341627438,99.1
0.0,0.1862811028917283,99.1
0.0,0.18762609280430398,99.1
0.0,0.20578345662407532,99.1
0.0,0.20712844653665097,99.1
0.0,0.2078009414929388,99.1
0.0,0.20914593140551446,99.1
0.0,0.21318090114324142,99.1
0.0,0.21452589105581707,99.1
0.0,0.2367182246133154,99.1
0.0,0.23806321452589105,99.1
0.0,0.4734364492266308,99.1
0.0006788866259334691,0.4734364492266308,99.1
0.0006788866259334691,0.7558843308675185,99.1
0.0013577732518669382,0.7558843308675185,99.1
0.0013577732518669382,0.7579018157363819,99.1
0.002036659877800407,0.7579018157363819,99.1
0.002036659877800407,0.7646267652992602,99.1
0.0027155465037338763,0.7646267652992602,99.1
0.0027155465037338763,0.8446536650975117,99.1
0.0033944331296673455,0.8446536650975117,99.1
0.0033944331296673455,0.8486886348352387,99.1
0.0047522063815342835,0.8486886348352387,99.1
0.0047522063815342835,0.8681909885675857,99.1
0.005431093007467753,0.8681909885675857,99.1
0.005431093007467753,0.8856758574310692,99.1
0.006109979633401222,0.8856758574310692,99.1
0.006109979633401222,0.8876933422999328,99.1
0.006788866259334691,0.8876933422999328,99.1
0.006788866259334691,0.8924008069939475,99.1
0.00746775288526816,0.8924008069939475,99.1
0.00746775288526816,0.8937457969065232,99.1
0.008146639511201629,0.8937457969065232,99.1
0.008146639511201629,0.8944182918628111,99.1
0.008825526137135099,0.8944182918628111,99.1
0.008825526137135099,0.8957632817753867,99.1
0.009504412763068567,0.8957632817753867,99.1
0.009504412763068567,0.8964357767316745,99.1
0.010183299389002037,0.8964357767316745,99.1
0.010183299389002037,0.9085406859448554,99.1
0.010862186014935505,0.9085406859448554,99.1
0.010862186014935505,0.9119031607262945,99.1
0.011541072640868975,0.9119031607262945,99.1
0.011541072640868975,0.9132481506388702,99.1
0.012219959266802444,0.9132481506388702,99.1
0.012219959266802444,0.9193006052454606,99.1
0.012898845892735914,0.9193006052454606,99.1
0.012898845892735914,0.9213180901143242,99.1
0.014256619144602852,0.9213180901143242,99.1
0.014256619144602852,0.9233355749831876,99.1
0.01493550577053632,0.9233355749831876,99.1
0.01493550577053632,0.9240080699394755,99.1
0.015614392396469789,0.9240080699394755,99.1
0.015614392396469789,0.933422999327505,99.1
0.016293279022403257,0.933422999327505,99.1
0.016293279022403257,0.9394754539340955,99.1
0.01697216564833673,0.9394754539340955,99.1
0.01697216564833673,0.9428379287155346,99.1
0.017651052274270197,0.9428379287155346,99.1
0.017651052274270197,0.9468728984532616,99.1
0.019687712152070606,0.9468728984532616,99.1
0.019687712152070606,0.9535978480161399,99.1
0.021045485403937542,0.9535978480161399,99.1
0.021045485403937542,0.9549428379287155,99.1
0.02172437202987101,0.9549428379287155,99.1
0.02172437202987101,0.9562878278412912,99.1
0.02308214528173795,0.9562878278412912,99.1
0.02308214528173795,0.9576328177538669,99.1
0.02376103190767142,0.9576328177538669,99.1
0.02376103190767142,0.9583053127101546,99.1
0.024439918533604887,0.9583053127101546,99.1
0.024439918533604887,0.9603227975790182,99.1
