Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC,KNN
Cross Validation,0.74 (+/- 0.11),0.69 (+/- 0.12),0.73 (+/- 0.13),0.69 (+/- 0.12),0.74 (+/- 0.11),0.75 (+/- 0.12)
Accuracy,67.83,67.83,66.96,66.09,66.96,65.22
Precision,73.81,73.26,66.96,73.17,71.43,71.76
Recall,80.52,81.82,100.0,77.92,84.42,79.22
F1 Score,77.02,77.3,80.21,75.47,77.38,75.31
Time,0 days 00:00:00.101468,0 days 00:00:00.085982,0 days 00:00:00.005022,0 days 00:00:00.019985,0 days 00:00:00.005098,0 days 00:00:00.001540
