False positive rate,True positive rate,Area
0.0,0.0,52.38
0.08571428571428572,0.175,52.38
0.2857142857142857,0.275,52.38
0.45714285714285713,0.5,52.38
0.4857142857142857,0.5125,52.38
0.5428571428571428,0.525,52.38
0.5714285714285714,0.5875,52.38
0.5714285714285714,0.6,52.38
0.6571428571428571,0.6375,52.38
0.6571428571428571,0.675,52.38
0.6857142857142857,0.7375,52.38
0.7142857142857143,0.8125,52.38
0.7428571428571429,0.825,52.38
0.8285714285714286,0.825,52.38
0.8285714285714286,0.875,52.38
0.8285714285714286,0.8875,52.38
0.8857142857142857,0.9,52.38
1.0,0.925,52.38
1.0,0.9375,52.38
1.0,1.0,52.38
