False positive rate,True positive rate,Area
0.0,0.0,53.34
0.0,0.0125,53.34
0.02857142857142857,0.025,53.34
0.02857142857142857,0.05,53.34
0.08571428571428572,0.05,53.34
0.08571428571428572,0.0625,53.34
0.11428571428571428,0.0625,53.34
0.11428571428571428,0.0875,53.34
0.14285714285714285,0.0875,53.34
0.14285714285714285,0.1,53.34
0.14285714285714285,0.125,53.34
0.14285714285714285,0.1625,53.34
0.17142857142857143,0.1875,53.34
0.2,0.1875,53.34
0.2,0.2375,53.34
0.2571428571428571,0.25,53.34
0.2857142857142857,0.25,53.34
0.2857142857142857,0.2625,53.34
0.3142857142857143,0.2625,53.34
0.3142857142857143,0.275,53.34
0.37142857142857144,0.275,53.34
0.37142857142857144,0.3125,53.34
0.4,0.3125,53.34
0.4,0.3875,53.34
0.42857142857142855,0.3875,53.34
0.42857142857142855,0.55,53.34
0.4857142857142857,0.55,53.34
0.4857142857142857,0.5625,53.34
0.5142857142857142,0.5625,53.34
0.5142857142857142,0.5875,53.34
0.5428571428571428,0.5875,53.34
0.5428571428571428,0.625,53.34
0.5714285714285714,0.625,53.34
0.5714285714285714,0.6625,53.34
0.6,0.6625,53.34
0.6,0.7,53.34
0.6285714285714286,0.7,53.34
0.6285714285714286,0.7375,53.34
0.6571428571428571,0.7375,53.34
0.6571428571428571,0.775,53.34
0.6857142857142857,0.775,53.34
0.6857142857142857,0.875,53.34
0.8285714285714286,0.875,53.34
0.8285714285714286,0.8875,53.34
0.8571428571428571,0.8875,53.34
0.8571428571428571,0.925,53.34
0.9428571428571428,0.925,53.34
0.9428571428571428,1.0,53.34
1.0,1.0,53.34
