Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC,KNN
Cross Validation,0.75 (+/- 0.06),0.72 (+/- 0.08),0.70 (+/- 0.10),0.72 (+/- 0.07),0.70 (+/- 0.02),0.70 (+/- 0.06)
Accuracy,78.5,75.25,75.75,74.0,74.5,73.75
Precision,80.49,81.48,81.82,80.13,74.34,80.89
Recall,92.31,84.62,84.97,84.62,98.25,82.87
F1 Score,85.99,83.02,83.36,82.31,84.64,81.87
Time,0 days 00:00:00.138879,0 days 00:00:00.120262,0 days 00:00:00.084393,0 days 00:00:00.031074,0 days 00:00:00.040952,0 days 00:00:00.000996
