Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC,KNN
Cross Validation,0.79 (+/- 0.02),0.80 (+/- 0.04),0.83 (+/- 0.03),0.80 (+/- 0.04),0.82 (+/- 0.03),0.79 (+/- 0.02)
Accuracy,78.45,80.8,81.5,80.8,81.26,78.22
Precision,83.42,83.5,84.32,83.5,82.44,83.55
Recall,91.62,95.09,94.8,95.09,97.69,91.04
F1 Score,87.33,88.92,89.25,88.92,89.42,87.14
Time,0 days 00:00:00.170543,0 days 00:00:00.153612,0 days 00:00:00.063834,0 days 00:00:00.046869,0 days 00:00:00.065827,0 days 00:00:00.001994
