Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC
Cross Validation,1.00 (+/- 0.00),1.00 (+/- 0.00),0.69 (+/- 0.11),1.00 (+/- 0.00),1.00 (+/- 0.00)
Accuracy,100.0,100.0,66.84,100.0,100.0
Precision,100.0,100.0,66.84,100.0,100.0
Recall,100.0,100.0,100.0,100.0,100.0
F1 Score,100.0,100.0,80.12,100.0,100.0
