Metric,Random Forest,AdaBoost,NeuralNet,XGBoost,SVC,KNN
Cross Validation,0.80 (+/- 0.06),0.82 (+/- 0.08),0.61 (+/- 0.01),0.81 (+/- 0.10),0.78 (+/- 0.15),0.78 (+/- 0.05)
Accuracy,81.97,81.69,61.97,82.82,79.72,81.13
Precision,85.14,87.44,61.97,87.32,81.9,85.58
Recall,85.91,82.27,100.0,84.55,86.36,83.64
F1 Score,85.52,84.78,76.52,85.91,84.07,84.6
Time,0 days 00:00:00.167523,0 days 00:00:00.103111,0 days 00:00:00.006997,0 days 00:00:00.026592,0 days 00:00:00.018494,0 days 00:00:00
